text,original_text,label
Waiting for 3-4 hours at Hongkong International Airport before boarding our next flight to Cebu.,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.,1
"You can be surrounded by people you don't know, but there is always someone who cares for you.","You're never alone Just when you think no one cares, you realize that there' always one person you cares for you",1
The user IIII is both knowledgeable and savage.,@user IIII know!!! and mean,1
I'm back to work without any distractions.,back to work.. with no distractions..,1
I have never spotted this type of thing before.,awwww  i never noticed this http,1
"If the user does well, they will start working tomorrow. As a result, I'll be sleeping in my bed for the next few days.","@user that sucks  well state starts tomorrow so im headin 2 bed, nitey nite",1
"My husband and I will be drinking a mojito and watching movies together. Goodnight, tweeters.",is going to drink a mojito and lay down to watch movies with my hubby. Goodnight fellow tweeters,1
is happy with her FP'09 review.,is satisfied with her FP'09 review,1
What should I do now?,wut do i do now????,1
"It's been a year since I spent 40 minutes and 5k, but now I can't seem to finish it.",@user hahaha sa una lang yan!  i started with 40 minutes ng 5k.  that was a year ago.,1
I have nothing to do. Is there anyone who can keep me company?,nothing to do &gt;.&lt;..any1 wanna keep me company?,1
"There's been a significant lack of activity and no one to chat with, but I'm still feeling tired and unable to sleep.",seriously bored without anyone to talk to... but not tired enough for sleep,1
Where are you?,where u at?,1
@user I'm not home with my cats,@user I'm not at home with my cats right now!,1
"Leno's last show was tonight, and I prefer him over Conan.",Leno's last show was tonight.  I like him better than Conan.,1
I'm done talking until bedtime. Tomorrow is my big mother's day and we'll head back to Greeley for the big move.,Okay enough talking for now time for bed. Big mother's day tomorrow! Then back to Greeley for the big move.,1
The ad is owned by @user Random.,@user Random has an a,1
"Too long ago, @user july",@user july... too long,1
Twitter didn't work out well for @user Woo!,@user Woo! Twitter kind of sucked without you.,1
"Does she have an overactive attitude towards the advertising industry and standards, despite her love for mathematics?","has her mind abuzz re: advertising industry + standards : don't hate me because I like maths, ok?",1
"The sliders I'm currently ordering from barjohnnys are not beef, but pork.",@user im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...),1
Thank you for the opportunity to win this one. @user has been a patron since 2001.,@user thanks  this one will be a hit. @user has been a patron since 2001,1
The heat of the weekend isn't much fun when you have a lot of skin.,"friday here at last, not much fun when your skint though",1
"Tomorrow morning, I am apprehensive about getting out of bed before going to sleep.",I don't think I will be able to get out of bed tomorrow morning  we will seeeee!,1
The circumstances are evolving.,the times they are a changing,1
The ability to view @user's video is restricted to us non-Americans.,@user video is not available to us foreigners,1
"Hey there, that's some really cool news!",@user thats kickass news !!,1
Stunning 4 iphone in http - USA ONLY! FREE UNLIMITED RINGTONES,FREE UNLIMITED RINGTONES!!! - http - USA ONLY - Awesome 4 iphone,1
Is there a way to boost my karma?,wants to increased my karma ~  http,1
Preparing to be arrested!,waiting to get picked up!,1
"Hoping to see Pink Floyd again, with Dave Gilmour and Roger Waters performing together.",wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert,1
A horse town and two car speakers that are blown out = 1 to 2?,In 1 horse town + 2 blown out car speakers =,1
I have a stuffy nose.?,My nose is stuffy,1
"In Newport, there was a night watch last night.",last night in newport,1
"My Twitter account is causing me distress, and I'm going to try to alleviate some of the agony.",Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,1
"Sunny weather on a Monday morning, and while Nicole was awake most of the night, Mommy got some rest.","Sunny synday morning. Nicole is up later than usual, mommy got some sleep",1
Stunning 4 iphone in http - USA ONLY! FREE UNLIMITED RINGTONES,FREE UNLIMITED RINGTONES!!! - http - USA ONLY - Awesome 4 iphone,1
"Delete many friends on Facebook, but request to be added again. If you are not in my circle, I can add them back.","deleted a lott of facebook friends, ask to be my friend again if you want. if not idgaf",1
Iphone @user.,@user the iphone,1
"Whenever I watch The Biggest Loser on Hallmark, I become emotional and cry uncontrollably.",watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,1
What is your actual age? That's an unsatisfactory inquiry.,@user that sucks!  how old are you actually?,1
"In any case, it remains unclear...",Still confuse...,1
Thank you to @user,@user Thanks,1
Can you assist me in resolving the issue of my email being blocked from accessing your previous messages?,@user I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;,1
I refuse to swim with @user.,@user Swimming is a no go for me,1
"Brad, thank you! Enjoy drinking and singing with me and Morgan.",@user  Tell Brad I said hi!    Drink and sing for me and Morgan.,1
The user is @user?,@user,1
The user is unaware of the fact that it did not.,@user Unfortunately not,1
The user is @user?,@user,1
"Hii sir, how's Quest?",@user Hey babe. how's Quest?,1
Going to bed now! I'm exhausted from Vegas.,Off to bed!! Still exhausted from Vegas,1
"I'm not sleeping at all today after taking a 4-hour nap, which is unfortunate.",Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer,1
I'm smitten with lil ken and nervous about our upcoming goodbye in less than a week.,Loving lil ken and absolutely dreading saying goodbye in less than a week,1
Hey there! I'm so tired and I can't look at my SchooL... What's up there?,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??,1
Requesting karma rewards.,asks for karma points please.  http,1
"Sorry, mama I'm sorry you didn't ask for an apology.",@user No need 2 apologize mama i respect you for that,1
"Before the jelly, L.A. instructed to wipe the slate clean!",L.A. said &quot;wipe the slate clean&quot; before the jelly!,1
I am not willing to assist unless the invite includes a beta key.,@user Unless that invite comes with a beta key I'm not going to be much help...,1
I am not in the vicinity of @user's residence.,@user not where i live.,1
Is it possible that @user Dump this blackberry uses an iPhone to compliment each other?,@user Dump this blackberry and uses an iPhone? Basically it compliment each other.  I think.,1
Does anyone else feel like they're bored?,Is ANYBODY up? .... I'm sooo bored!,1
I am unable to reach my sister's house number as it is already fixed.,@user ï¿½ cant im not @ my sister house no ï¿½-net tonite,1
I'm having trouble adding photos on Facebook. What's the issue?,"Damn, hi Facebook ? what's wrong with you ? can't add photos",1
@user you chatting with her often,@user you talk to her alot,1
Would you mind if I could add 4 more followers to my fan page and show me love?,4 more followers.. follow me and I'll love you!! *pouts* Please?,1
"It's not like your being superficial, @user. Some people do respond and communicate with their followers. If they don't reply promptly, it'll be fine too.","@user I don't think it makes you seem shallow. Some actually do respond and converse with followers.  If they don't, no biggie.",1
The second to last episode of Jay Leno is a never-ending series.,2nd to last episode of jay leno  itll never be the same!  nite twitter,1
I am not accustomed to the intense tension and emotional intensity that comes with it.,so tense..so emotional...so not me..,1
"Haha, that shirt is gone.","Well, there goes *that* shirt. Haha",1
Observing for two days.,watching 48 hours,1
"Today, it was revealed that they had their first kiss.",And then you find out today they had there first kiss! },1
Is active on Facebook?,is on facebook,1
We extend our heartfelt thanks to all the moms out there who celebrate Mother's Day.,Happy Mother's Day to all the mommies out there...we love you.,1
"Feeling drained today, time for bed and beddy back.","dont know why so tired today  bye, time for beddy",1
Continuating to investigate once more!,intentando intentarlo ONCE AGAIN!,1
"My brain is blazing and I can't wait to share it with you, Carrie.","Yeah, my brain does rock!  I am happy to share my knowledge with you Carrie",1
I'm having trouble eating and have a sore throat. Can you help me?,"@user ooh maggi goreng. yums. i cant eat, sore throat cmin",1
What do you usually have for breakfast when you wake up? I'm having difficulty deciding what to eat.,@user morning hon. what you having for breakfast? I cant decide,1
Is it true that my BF told me about the WSOP employees event after 12 hours with AA working doubles for the next 6 weeks?,did I mention my BF bubbled the WSOP employees event after 12 hrs with AA  Working doubles  now for the next 6 weeks,1
Hello and welcome to the Twittersphere.,@user Hello you! welcome to the twitterverse,1
It's no longer present with @user.,@user But now it's gone,1
"It's possible that I could make you feel worn out, @user.",@user i think i could wear you out,1
"It's your turn to go to work in 10 minutes, everyone.","says morning everyone, off to work in 10 min's  http",1
Is it possible for everyone to have a good night's sleep?,@user  maybe a good night's sleep for everyone?,1
"Goodnight, everyone.",tired goodnight everyone,1
"Trina, I also love you.",Rofl. I love you too Trina.,1
Retaining a mixture of dark chocolate and peanuts.,eating some dark chocolate peanut m&amp;ms,1
"""What the hell is this tattoo? OH MY GIRLS","Oh noes.  hey, what's my tatoo say?",1
Does the @user indicate that it is the husband or the wife?,@user &quot;They&quot; being the husband or the girl?,1
"My tweets are more active during the time frame of 10am to 3am, as per TweetStats, resulting in an abundance of Tweetage on Monday, Sunday, and Saturday.","According to TweetStats I tweet more between the hours of 10am and 3am with Monday, Sunday and Saturday filled with Tweetage!",1
"Sun is expected to return with a private jet, but the user must stay home for another week and express their desire for Bruno.",@user supposed to be back Sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  &amp; want Bruno!,1
"I shared it with him on TTT, @user",@user I told him TTT!,1
"I'm pretty sure you are, @user. Toasties wasn't too far behind.",@user I'm sure you are.    Toasties wasn't far behind.,1
"I should have slept earlier, TedTalks! Yikes! It's time to rise early.","Should have gone to bed ages ago, damn you tedtalks!  Gotta get up early too",1
The score of 0.2 points is enough to earn me 3 points!,its only 0.2! Just give me my 3 points!,1
Can you identify the two girls who sang Crush and I'm not a cookie?,@user im not a cookie so i wont comment  heh. who were those 2 girls who sang Crush btw? wud u know?,1
I should focus on practicing vocal warm ups and breathing exercises in a proper manner.,Practicing vocal warm ups and breathing methods. I should do this the right way,1
Can you explain why I am unable to hear from @user?,@user why not?,1
"K, good morning! Hoping to visit Chuck E Cheese tomorrow after taking my last shots in kindergarten and enduring some physical activity.","K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla",1
"Thank you for your kind words, @user!",@user I'm sorry  I'm thinking about you and hope the week gets better!,1
@user is in contact with the individual who posted the content.,at @user with @user,1
"I'm curious if you have any reservations about Anne Curtis, as she is currently making soap for me instead.",@user awww! you like anne curtis too tho rite?? it's her soap thats gonna replace it!,1
Good afternoon!,says good (or should i say bad?) afternoon!  http,1
"The reason I drive a tiny Honda Civic is because of this, as stated by @user.",@user that is why I drive a (teeny tiny) honda civic  http,1
"The curse of Tumblr, @user.",@user I wish I knew!  The curse of Tumblr.,1
I will be taking a business exam tomorrow.,Business exam tomorrow,1
"Hey guys, would you mind taking a look at http?","errbody, please check out http id appreciate it a bunch.",1
I'm having trouble sleeping despite my attempts to do so.,@user I'm trying to sleep!!! It's not working,1
"Even though I had a rough time getting back from Grimsby, we were still together.",back from grimsby  it sucks bein back but was amazin wknd anyway!!,1
"Hello, my name is Eric Schmidt.",@user hey,1
"Despite being an underage person, I haven't been given any friends to like TAI.","@user haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",1
"My friend, I also use @user.","@user You too, my friend",1
"This idea appeals to me, @user oh.",@user oh i like this idea,1
I think I caused her a lot of distress.,@user Aww maybe i traumatized her.,1
"Today, so much happened that I desperately want to hug myself.",Ugh. Too much happened today. I really need a hug,1
What is the process for joining Twitter?,how do you twitter?,1
I think you might as well send some flowers to your mother.,@user LOL. You should buy your mummy flowers,1
"Did the firangs steal your language, as per your eating words?",@user ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!,1
The user is @user?,@user,1
Can you confirm that I am a reflection of your true self?,Hi @user Found you through @user i am indeed a pigment of your imagination,1
I'm completely ready to sleep now.,I'm totally going to bed right now.,1
"The website has been plagued by spamming and the blog TV is experiencing issues, indicating that it may not be functioning properly.",evryone come here http were spamming so much and blogtv is glitching and it might work,1
Does it make you sad that I only replied after 2 minutes?,@user @user CHEERS! (is it sad that i replied only just 2 minutes later?),1
A quote from the Bible can be used to illustrate this fact: Jesus erected a bridge using only 2 boards and 3 nails.,@user here's a quote for ya: jesus built a bridge with 2 boards and 3 nails.,1
I'm having trouble commenting on a political website after signing up.,I signed up for an account on a political website so I could post a comment but it isn't working.,1
"I'd like to do alpine next summer, but the high gas prices of 1800 to 1000 miles per gallon is beyond my expectations.",@user I would but its like 1800 or 1000+ miles  gas prices are crazy im doing alpine next summer most def,1
"Thank you, @user - that's nice of you to say thank you if only for the compliment.",@user - thank you - I take that as a compliment if I may -,1
My exam is at 10am and I only slept for about 3 hours last night.,has an exam at 10am - I slept about 3 hours last night,1
"It's been almost a year since I last saw @user or @use, and I wish I had settled in or near Ohio.",Wish I lived in or atleast relatively close to Ohio!   Haven't seen @user or @user in almost a year.,1
"Within a few seconds of the last clue, all @user were revealed.",@user and within a short time of the last clue all of them,1
"Twitter is a must for you, Brain.","@user Good idea Brain, you can't not be on Twitter...",1
A user who recently checked out the library website noticed a girl with dwarf tattoo.,@user just checked library website and girl with dragon tattoo is checked out,1
"Happy mother's day to all mothers, whether they are present or rejoicing on the occasion.",to all mothers out there... or even soon to be mothers &gt;8D happy mother's day y'all,1
"Smart as a duck, you should add Marky Mark to the playlist. Donnie made many of his own songs.","@user ok, smart ass.   You guys should add Marky Mark to the playlist, since Donnie produced a bunch of his stuff.",1
The @user expressed optimism in their ability to do that...,@user well sure hope they can do that...,1
I'm currently employed.,I'm at work,1
Where can I find the songs on the site and is there a way to play &quot;Do You&apos; on this computer?,"@user @user Where'd the songs go on the site, I want &quot;Do You&quot; on this computer too",1
"That's alright, thanks @user ahaha.",@user ahaha thats okay and thanks,1
Watching Friends with my daughter while sitting at home.,Relaxing with my daughter watching Friends,1
